"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"br-core-address-polo","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"br-core-address-polo","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-address-polo""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"br-core-address-polo","Extension.value[x]","Extension.value[x]","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-location]]}
","Referência ao Polo Base","Referência ao recurso Location que representa o Polo Base de saúde.","O Polo Base deve estar previamente cadastrado como um recurso Location. Cada polo-base atende um conjunto de aldeias dentro da área de abrangência de um DSEI, servindo como ponto estratégico para a prestação de serviços de saúde e apoio logístico às Equipes Multidisciplinares de Saúde Indígena (EMSI).","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-address","Address","Address","","","",0,*,"","","","null {[]} {[]}
","An address expressed using postal conventions (as opposed to GPS or other location definition formats)","An address expressed using postal conventions (as opposed to GPS or other location definition formats).  This data type may be used to convey addresses for use in delivering mail as well as for visiting locations which might not be valid for mail delivery.  There are a variety of postal address formats defined around the world.","Note: address is intended to describe postal addresses for administrative purposes, not to describe absolute geographical coordinates.  Postal addresses are often used as proxies for physical locations (also see the [Location](http://hl7.org/fhir/R4/location.html#) resource).","","","","","","","","",,,,,"",,,,"Address",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-address","Address.id","Address.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"br-core-address","Address.extension","Address.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"br-core-address","Address.extension:aldeia","Address.extension","aldeia","","",0,1,"","","","Extension {[CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-address-aldeia]]} {[]}
","Aldeia Indígena","Referência ao recurso Location que representa a aldeia indígena onde o indivíduo reside.","A aldeia é a unidade básica de localização geográfica para populações indígenas. Este elemento permite associar o endereço a uma aldeia específica cadastrada como Location no sistema.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"br-core-address","Address.extension:dsei","Address.extension","dsei","","",0,1,"","","","Extension {[CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-address-dsei]]} {[]}
","Distrito Sanitário Especial Indígena (DSEI)","Referência ao recurso Location que representa o Distrito Sanitário Especial Indígena (DSEI) responsável pela região.","O DSEI é uma unidade administrativa de saúde que coordena as ações de atenção à saúde indígena em uma determinada região geográfica, abrangendo múltiplas aldeias e polos-base. Este elemento permite associar o endereço ao DSEI responsável pela área.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"br-core-address","Address.extension:polo","Address.extension","polo","","",0,1,"","","","Extension {[CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-address-polo]]} {[]}
","Polo Base","Referência ao recurso Location que representa o Polo Base que atende a região.","O Polo Base é uma unidade de saúde que serve como ponto de referência para um conjunto de aldeias, oferecendo serviços de saúde e apoio logístico. Este elemento permite associar o endereço ao polo-base responsável pela assistência à saúde na região.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"br-core-address","Address.use","Address.use","","","",0,1,"","Y","Y","code {[]} {[]}
","Tipo de uso do endereço","Identifica o propósito deste endereço.","Os valores permitidos são: home (residencial), work (trabalho), temp (temporário), old (antigo). Para endereços de aldeias indígenas, normalmente será utilizado 'home'.","Allows an appropriate address to be chosen from a list of many.","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""home""/>","","",,"required","","http://hl7.org/fhir/ValueSet/address-use","",,,,"Address.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-address","Address.type","Address.type","","","",0,1,"","","Y","code {[]} {[]}
","Tipo do endereço","Distingue entre endereços físicos (físico/para visita) e endereços postais (para correspondência).","Os valores permitidos são: postal (endereço postal), physical (endereço físico), both (ambos). Para aldeias indígenas, geralmente será 'physical'.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""both""/>","","",,"required","","http://hl7.org/fhir/ValueSet/address-type","",,,,"Address.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-address","Address.text","Address.text","","","",0,1,"","","Y","string {[]} {[]}
","Text representation of the address","Specifies the entire address as it should be displayed e.g. on a postal label. This may be provided instead of or as well as the specific parts.","Can provide both a text representation and parts. Applications updating an address SHALL ensure that  when both text and parts are present,  no content is included in the text that isn't found in a part.","A renderable, unencoded form.","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""137 Nowhere Street, Erewhon 9132""/>","","",,,,,"",,,,"Address.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"br-core-address","Address.line","Address.line","","","",0,*,"","","Y","string {[]} {[]}
","Linha de endereço","Este componente contém o nome da rua, número da casa, nome da aldeia, apartamento, número de caixa postal ou similar.","Para endereços de aldeias indígenas, este campo pode conter o nome da aldeia e informações adicionais de localização dentro da comunidade.","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""137 Nowhere Street""/>","","",,,,,"",,,,"Address.line",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
