"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping"
"HealthcareService.providedBy","HealthcareService.providedBy","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|4.0.1]]}
","Referência à organização que fornece este serviço","Referência à organização que fornece este serviço","This property is recommended to be the same as the Location's managingOrganization, and if not provided should be interpreted as such. If the Location does not have a managing Organization, then this property should be populated.","","","","","","","","",,,,,"",,,,"HealthcareService.providedBy",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".scopingRole.Organization"
"HealthcareService.category","HealthcareService.category","","service category
","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Categoria de serviço","Categoria de serviço","Selecting a Service Category then determines the list of relevant service types that can be selected in the primary service type.","","","","","","","","",,"preferred","","https://terminologia.saude.gov.br/fhir/ValueSet/BRTipoEstabelecimentoSaude","",,,,"HealthcareService.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".code","FiveWs.class"
"HealthcareService.type","HealthcareService.type","","service type
","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Tipo de serviço","Tipo de serviço","","","","","","","","","",,"example","","https://terminologia.saude.gov.br/fhir/ValueSet/BRServicoEspecializado","",,,,"HealthcareService.type",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=COMP.act[classCode=ACT][moodCode=DEF].code"
"HealthcareService.specialty","HealthcareService.specialty","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Especialidades atendidas","Especialidades atendidas","","","","","","","","","",,"preferred","","https://terminologia.saude.gov.br/fhir/ValueSet/BROcupacao","",,,,"HealthcareService.specialty",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=COMP.act[classCode=ACT][moodCode=DEF].code"
"HealthcareService.location","HealthcareService.location","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location|4.0.1]]}
","Referência aos locais onde o serviço pode ser prestado","Referência aos locais onde o serviço pode ser prestado","","","","","","","","","",,,,,"",,,,"HealthcareService.location",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".location.role[classCode=SDLOC]","FiveWs.where[x]"
"HealthcareService.name","HealthcareService.name","","","",0,1,"","","Y","string {[]} {[]}
","Nome do serviço","Nome do serviço","","","","","","","","","",,,,,"",,,,"HealthcareService.name",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".name"
"HealthcareService.comment","HealthcareService.comment","","","",0,1,"","","Y","string {[]} {[]}
","Comentários sobre o serviço","Comentários sobre o serviço","Would expect that a user would not see this information on a search results, and it would only be available when viewing the complete details of the service.","","","","","","","","",,,,,"",,,,"HealthcareService.comment",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".location.role[classCode=SDLOC].desc"
"HealthcareService.extraDetails","HealthcareService.extraDetails","","","",0,1,"","","","markdown {[]} {[]}
","Detalhes extras sobre o serviço","Detalhes extras sobre o serviço","","","","","","","","","",,,,,"",,,,"HealthcareService.extraDetails",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=COMP.act[classCode=ACT][moodCode=DEF].text"
"HealthcareService.photo","HealthcareService.photo","","","",0,1,"","","Y","Attachment {[]} {[]}
","Anexos para facilitar a identificação do serviço","Anexos para facilitar a identificação do serviço","","","","","","","","","",,,,,"",,,,"HealthcareService.photo",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=SBJ].observation.value"
"HealthcareService.telecom","HealthcareService.telecom","","","",0,*,"","","","ContactPoint {[]} {[]}
","Contatos relacionados ao serviço de saúde","Contatos relacionados ao serviço de saúde","If this is empty, then refer to the location's contacts.","","","","","","","","",,,,,"",,,,"HealthcareService.telecom",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".telecom"
