"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping"
"Location.operationalStatus","Location.operationalStatus","","","",0,1,"","","Y","Coding {[]} {[]}
","O status operacional do local (normalmente apenas para uma cama/quarto)","O status operacional do local (normalmente apenas para uma cama/quarto)","","","","","","","","","",,"preferred","The operational status if the location (where typically a bed/room).","http://terminology.hl7.org/ValueSet/v2-0116","",,,,"Location.operationalStatus",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","FiveWs.status"
"Location.name","Location.name","","","",1,1,"","","Y","string {[]} {[]}
","Nome do local","Nome do local","If the name of a location changes, consider putting the old name in the alias column so that it can still be located through searches.","","","","","","","","",,,,,"",,,,"Location.name",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".name"
"Location.alias","Location.alias","","","",0,*,"","","","string {[]} {[]}
","Uma lista de nomes alternativos pelos quais o local é conhecido, ou foi conhecido, no passado","Uma lista de nomes alternativos pelos quais o local é conhecido, ou foi conhecido, no passado","There are no dates associated with the alias/historic names, as this is not intended to track when names were used, but to assist in searching so that older names can still result in identifying the location.","Over time locations and organizations go through many changes and can be known by different names.

For searching knowing previous names that the location was known by can be very useful.","","","","","","","",,,,,"",,,,"Location.alias",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".name"
"Location.description","Location.description","","","",0,1,"","","Y","string {[]} {[]}
","Detalhes adicionais sobre o local que podem ser exibidos como informações adicionais para identificar o local além do seu nome","Detalhes adicionais sobre o local que podem ser exibidos como informações adicionais para identificar o local além do seu nome","","Humans need additional information to verify a correct location has been identified.","","","","","","","",,,,,"",,,,"Location.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".playingEntity[classCode=PLC determinerCode=INSTANCE].desc"
"Location.mode","Location.mode","","","",0,1,"","","Y","code {[]} {[]}
","Indica se uma instância deste recurso representa um local específico ou uma classe de locais","Indica se uma instância deste recurso representa um local específico ou uma classe de locais","This is labeled as a modifier because whether or not the location is a class of locations changes how it can be used and understood.","When using a Location resource for scheduling or orders, we need to be able to refer to a class of Locations instead of a specific Location.","","","","","","","",,"required","Indicates whether a resource instance represents a specific location or a class of locations.","http://hl7.org/fhir/ValueSet/location-mode|4.0.1","",,,,"Location.mode",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".playingEntity[classCode=PLC].determinerCode","FiveWs.class"
"Location.type","Location.type","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Tipo de serviço oferecido","Tipo de serviço oferecido","","","","","","","","","",,"extensible","","https://terminologia.saude.gov.br/fhir/ValueSet/BRServicoEspecializado","",,,,"Location.type",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".code","FiveWs.class"
"Location.telecom","Location.telecom","","","",0,*,"","","","ContactPoint {[]} {[]}
","Detalhes de contato do local","Detalhes de contato do local","","","","","","","","","",,,,,"",,,,"Location.telecom",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".telecom"
"Location.address","Location.address","","","",0,1,"","","","Address {[]} {[]}
","Endereço do local","Endereço do local","Additional addresses should be recorded using another instance of the Location resource, or via the Organization.","If locations can be visited, we need to keep track of their address.","","","","","","","",,,,,"",,,,"Location.address",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".addr"
"Location.physicalType","Location.physicalType","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Estrutura física do local","Estrutura física do local","","For purposes of showing relevant locations in queries, we need to categorize locations.","","","","","","","",,"example","","https://terminologia.saude.gov.br/fhir/ValueSet/BRInstalacoesFisicas","",,,,"Location.physicalType",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".playingEntity [classCode=PLC].code","FiveWs.class"
"Location.position","Location.position","","","",0,1,"","","","BackboneElement {[]} {[]}
","A localização geográfica absoluta","A localização geográfica absoluta","","For mobile applications and automated route-finding knowing the exact location of the Location is required.","","","","","","","",,,,,"",,,,"Location.position",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".playingEntity [classCode=PLC determinerCode=INSTANCE].positionText"
"Location.position.id","Location.position.id","","","",0,1,"","","","string {[]} {[]}
","Identificador único para referência cruzada","Identificador único para referência cruzada","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Location.position.extension","Location.position.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extensões adicionais que não fazem parte do modelo de dados básico","Extensões adicionais que não fazem parte do modelo de dados básico","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Location.position.modifierExtension","Location.position.modifierExtension","","","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensões adicionais que não podem ser ignoradas, mesmo que não reconhecidas","Extensões adicionais que não podem ser ignoradas, mesmo que não reconhecidas","","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Location.position.longitude","Location.position.longitude","","","",1,1,"","","","decimal {[]} {[]}
","Longitude com referência WGS84","Longitude com referência WGS84","","","","","","","","","",,,,,"",,,,"Location.position.longitude",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","(RIM Opted not to map the sub-elements of GPS location, is now an OBS)"
"Location.position.latitude","Location.position.latitude","","","",1,1,"","","","decimal {[]} {[]}
","Latitude com referência WGS84","Latitude com referência WGS84","","","","","","","","","",,,,,"",,,,"Location.position.latitude",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","(RIM Opted not to map the sub-elements of GPS location, is now an OBS)"
"Location.position.altitude","Location.position.altitude","","","",0,1,"","","","decimal {[]} {[]}
","Altitude com referência WGS84","Altitude com referência WGS84","","","","","","","","","",,,,,"",,,,"Location.position.altitude",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","(RIM Opted not to map the sub-elements of GPS location, is now an OBS)"
"Location.managingOrganization","Location.managingOrganization","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|4.0.1]]}
","Referência à organização responsável pelo provisionamento e manutenção","Referência à organização responsável pelo provisionamento e manutenção","This can also be used as the part of the organization hierarchy where this location provides services. These services can be defined through the HealthcareService resource.","Need to know who manages the location.","","","","","","","",,,,,"",,,,"Location.managingOrganization",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".scopingEntity[classCode=ORG determinerKind=INSTANCE]"
"Location.partOf","Location.partOf","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-location]]}
","Referência à outro local que esta localidade é parte","Referência à outro local que esta localidade é parte","","For purposes of location, display and identification, knowing which locations are located within other locations is important.","","","","","","","",,,,,"",,,,"Location.partOf",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".inboundLink[typeCode=PART].source[classCode=SDLC]"
"Location.hoursOfOperation","Location.hoursOfOperation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Horário de funcionamento","Horário de funcionamento","This type of information is commonly found published in directories and on websites informing customers when the facility is available.

Specific services within the location may have their own hours which could be shorter (or longer) than the locations hours.","","","","","","","","",,,,,"",,,,"Location.hoursOfOperation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".effectiveTime"
"Location.hoursOfOperation.id","Location.hoursOfOperation.id","","","",0,1,"","","","string {[]} {[]}
","Identificador único para referência cruzada","Identificador único para referência cruzada","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Location.hoursOfOperation.extension","Location.hoursOfOperation.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extensões adicionais que não fazem parte do modelo de dados básico","Extensões adicionais que não fazem parte do modelo de dados básico","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Location.hoursOfOperation.modifierExtension","Location.hoursOfOperation.modifierExtension","","","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensões adicionais que não podem ser ignoradas, mesmo que não reconhecidas","Extensões adicionais que não podem ser ignoradas, mesmo que não reconhecidas","","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Location.hoursOfOperation.daysOfWeek","Location.hoursOfOperation.daysOfWeek","","","",0,*,"","","","code {[]} {[]}
","Dias da semana","Dias da semana","","","","","","","","","",,"required","The days of the week.","http://hl7.org/fhir/ValueSet/days-of-week|4.0.1","",,,,"Location.hoursOfOperation.daysOfWeek",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".effectiveTime"
"Location.hoursOfOperation.allDay","Location.hoursOfOperation.allDay","","","",0,1,"","","","boolean {[]} {[]}
","Se o local está aberto o dia inteiro","Se o local está aberto o dia inteiro","","","","","","","","","",,,,,"",,,,"Location.hoursOfOperation.allDay",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".effectiveTime"
"Location.hoursOfOperation.openingTime","Location.hoursOfOperation.openingTime","","","",0,1,"","","","time {[]} {[]}
","Horário de abertura do local","Horário de abertura do local","","","","","","","","","",,,,,"",,,,"Location.hoursOfOperation.openingTime",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".effectiveTime"
"Location.hoursOfOperation.closingTime","Location.hoursOfOperation.closingTime","","","",0,1,"","","","time {[]} {[]}
","Horário de fechamento do local","Horário de fechamento do local","","","","","","","","","",,,,,"",,,,"Location.hoursOfOperation.closingTime",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".effectiveTime"
"Location.availabilityExceptions","Location.availabilityExceptions","","","",0,1,"","","","string {[]} {[]}
","Descrição das exceções de disponibilidade","Descrição das exceções de disponibilidade","","","","","","","","","",,,,,"",,,,"Location.availabilityExceptions",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"Location.endpoint","Location.endpoint","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Endpoint|4.0.1]]}
","Endpoints técnicos que fornecem acesso aos serviços operados para o local","Endpoints técnicos que fornecem acesso aos serviços operados para o local","","Organizations may have different systems at different locations that provide various services and need to be able to define the technical connection details for how to connect to them, and for what purpose.","","","","","","","",,,,,"",,,,"Location.endpoint",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
